"","Country","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status"
"108","Malaysia","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"109","Maldives","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF"
"110","Mali","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","F","F","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","NF","PF","PF","PF"
"111","Malta","F","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"112","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"113","Mauritania","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","NF","NF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF"
"114","Mauritius","F","F","F","F","F","F","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"115","Mexico","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF"
"116","Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"117","Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"118","Monaco","PF","PF","PF","PF","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"119","Mongolia","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"120","Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","PF","PF","F","F","F","F","F","F","PF"
"121","Morocco","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"122","Mozambique",NA,NA,NA,"NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"123","Myanmar","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"124","Namibia","NF","NF","NF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"125","Nauru","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"126","Nepal","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"127","Netherlands","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"128","New Zealand","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"129","Nicaragua","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"130","Niger","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"131","Nigeria","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","NF","NF","NF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"132","North Korea","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"133","Norway","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"134","Oman","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"135","Pakistan","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF"
"136","Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"137","Panama","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"138","Papua New Guinea",NA,NA,NA,"PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"139","Paraguay","PF","PF","PF","PF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"140","Peru","NF","NF","NF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"141","Philippines","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"142","Poland","NF","NF","NF","NF","NF","NF","PF","PF","PF","NF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"143","Portugal","NF","NF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"144","Qatar","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"145","Romania","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"146","Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"147","Rwanda","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"148","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"149","Saint Lucia",NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"150","Saint Vincent & Grenadines",NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"151","Samoa","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"152","San Marino","F","F","F","F","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"153","Sao Tome & Principe",NA,NA,NA,"PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"154","Saudi Arabia","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"155","Senegal","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","PF","PF","PF","PF","F","F","F","F"
"156","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F"
"157","Seychelles",NA,NA,NA,NA,"F","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"158","Sierra Leone","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","PF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","PF","PF","PF"
"159","Singapore","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"160","Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","F","F","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"161","Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"162","Solomon Islands",NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"163","Somalia","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"164","South Africa","F (NF)","PF","PF","PF","PF","PF","PF","PF","PF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"165","South Korea","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"166","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NF","NF","NF","NF","NF"
"167","Spain","NF","NF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"168","Sri Lanka","F","F","F","PF","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"169","Sudan","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","NF","NF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"170","Suriname",NA,NA,NA,"F","F","F","F","F","NF","NF","NF","NF","NF","NF","PF","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"171","Swaziland","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"172","Sweden","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"173","Switzerland","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"174","Syria","NF","NF","NF","NF","NF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"175","Taiwan","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"176","Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"177","Tanzania","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"178","Thailand","NF","PF","PF","F","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","PF","NF","PF","PF","PF","PF","PF","PF","PF","NF","NF"
"179","Togo","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"180","Tonga","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F"
"181","Trinidad & Tobago","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F"
"182","Tunisia","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","F","F"
"183","Turkey","PF","PF","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"184","Turkmenistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"185","Tuvalu",NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"186","Uganda","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF"
"187","Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","PF","PF","PF","PF","PF","PF"
"188","United Arab Emirates","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"189","United Kingdom","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"190","United States","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"191","Uruguay","PF","PF","PF","PF","NF","NF","NF","NF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"192","USSR","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"194","Vanuatu",NA,NA,NA,NA,NA,NA,NA,NA,"F","F","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"195","Venezuela","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"196","Vietnam",NA,NA,NA,NA,"NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"197","Vietnam, N.","NF","NF","NF","NF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Vietnam, S.","PF","PF","PF","NF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Yemen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF"
"200","Yemen, N.","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Yemen, S.","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Yugoslavia","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","NF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Yugoslavia (Serbia & Montenegro)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","NF","NF","NF","NF","NF","NF","PF","PF","PF","F","F","F","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Zambia","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"205","Zimbabwe","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF"
