"","Country","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status"
"26","Bulgaria","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"27","Burkina Faso","PF","PF","PF","PF","PF","PF","F","F","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"28","Burundi","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF"
"29","Cambodia","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"30","Cameroon","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"31","Canada","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"32","Cape Verde",NA,NA,NA,"PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","NF","NF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"33","Central African Republic","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF"
"34","Chad","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"35","Chile","F","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"36","China","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"37","Colombia","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"38","Comoros",NA,NA,NA,"PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"39","Congo (Brazzaville)","NF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","NF","NF","NF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"40","Congo (Kinshasa)","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"41","Costa Rica","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"42","Cote d'Ivoire","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF"
"43","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"44","Cuba","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"45","Cyprus","F","F","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"46","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"47","Czechoslovakia","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","F","F","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Denmark","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"49","Djibouti",NA,NA,NA,NA,NA,"PF","PF","PF","PF","NF","NF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF"
"50","Dominica",NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
