"","Country","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR"
"31","Canada","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"32","Cape Verde",NA,NA,NA,"5","6","6","6","6","6","6","6","6","6","6","5","5","6","5","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"33","Central African Republic","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6","3","3","3","3","3","3","3","3","5","5","7","6","5","5","5","5","5","5","5","5","7","7","7"
"34","Chad","6","6","6","7","7","7","6","6","7","7","7","7","7","7","6","6","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7"
"35","Chile","1","7","7","7","7","7","6","6","6","6","6","6","6","6","6","5","4","2","2","2","2","2","2","2","2","3","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","China","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"37","Colombia","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","2","2","2","3","4","4","4","3","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3"
"38","Comoros",NA,NA,NA,"5","5","4","5","4","4","4","4","5","6","6","6","6","6","5","4","4","4","4","4","4","5","5","6","6","6","5","5","4","4","3","4","3","3","3","3","3","3","3","3"
"39","Congo (Brazzaville)","7","5","5","5","5","7","7","7","7","7","7","7","7","7","7","7","7","6","6","3","3","4","4","4","7","7","6","6","5","6","5","5","5","6","6","6","6","6","6","6","6","6","6"
"40","Congo (Kinshasa)","7","7","7","7","7","6","6","6","6","6","6","6","7","7","6","6","7","6","6","6","7","7","7","7","7","7","7","7","6","6","6","6","6","5","5","6","6","6","6","6","6","6","6"
"41","Costa Rica","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"42","Cote d'Ivoire","6","6","6","6","6","6","6","6","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","7","7","6","6","7","6","5","5","5","4"
"43","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4","4","4","4","4","4","4","4","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1"
"44","Cuba","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"45","Cyprus","2","2","4","4","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"46","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"47","Czechoslovakia","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Denmark","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"49","Djibouti",NA,NA,NA,NA,NA,"3","3","3","3","5","5","5","6","6","6","6","6","6","6","6","6","6","5","5","5","5","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6"
"50","Dominica",NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"51","Dominican Republic","3","3","4","4","4","4","2","2","2","1","1","1","1","1","1","1","1","2","2","2","3","4","4","3","3","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","3"
